Well,Omit,sample_id_old,Target,Dye,Task,Cq,Quantity,plate_id,study,template_vol,elution_vol,,,,,,,,,,,
B6,FALSE,AR_2_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
B7,FALSE,bf_2_40,MAC,SYBR,Unknown,37.96217501,0.888897887,MAC_samples_1,AR,1,100,,,,,,,,,,,
B8,FALSE,bf_2_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
B9,FALSE,bf_2_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
B10,FALSE,bf_2_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
B11,FALSE,bf_2_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
B12,FALSE,bf_2_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
C1,FALSE,10,MAC,SYBR,Standard,Undetermined,10,MAC_samples_1,,1,100,,,,,,,,,,,
C2,FALSE,10,MAC,SYBR,Standard,34.45139887,10,MAC_samples_1,,1,100,,,,,,,,,,,
C3,FALSE,10,MAC,SYBR,Standard,33.59345375,10,MAC_samples_1,,1,100,,,,,,,,,,,
C4,FALSE,AR_3_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
C5,FALSE,AR_3_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
C6,FALSE,AR_3_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
C7,FALSE,bf_3_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
C8,FALSE,bf_3_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
C9,FALSE,bf_3_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
C10,FALSE,bf_3_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
C11,FALSE,bf_3_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
C12,FALSE,bf_3_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
D1,FALSE,1.00E+02,MAC,SYBR,Standard,30.65787683,100,MAC_samples_1,,1,100,,,,,,,,,,,
D2,FALSE,1.00E+02,MAC,SYBR,Standard,30.96989956,100,MAC_samples_1,,1,100,,,,,,,,,,,
D3,FALSE,1.00E+02,MAC,SYBR,Standard,30.68399463,100,MAC_samples_1,,1,100,,,,,,,,,,,
D4,FALSE,AR_4_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
D5,FALSE,AR_4_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
D6,FALSE,AR_4_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
D7,FALSE,bf_4_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
D8,FALSE,bf_4_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
D9,FALSE,bf_4_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
D10,FALSE,bf_4_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
D11,FALSE,bf_4_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
D12,FALSE,bf_4_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
E1,FALSE,1.00E+03,MAC,SYBR,Standard,27.17190127,1000,MAC_samples_1,,1,100,,,,,,,,,,,
E2,FALSE,1.00E+03,MAC,SYBR,Standard,26.97715822,1000,MAC_samples_1,,1,100,,,,,,,,,,,
E3,FALSE,1.00E+03,MAC,SYBR,Standard,27.22811485,1000,MAC_samples_1,,1,100,,,,,,,,,,,
E4,FALSE,AR_5_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
E5,FALSE,AR_5_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
E6,FALSE,AR_5_41,MAC,SYBR,Unknown,37.33585999,1.330531885,MAC_samples_1,AR,1,100,,,,,,,,,,,
E7,FALSE,bf_5_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
E8,FALSE,bf_5_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
E9,FALSE,bf_5_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
E10,FALSE,bf_5_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
E11,FALSE,bf_5_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
E12,FALSE,bf_5_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
F1,FALSE,1.00E+04,MAC,SYBR,Standard,23.26389701,10000,MAC_samples_1,,1,100,,,,,,,,,,,
F2,FALSE,1.00E+04,MAC,SYBR,Standard,23.25169995,10000,MAC_samples_1,,1,100,,,,,,,,,,,
F3,FALSE,1.00E+04,MAC,SYBR,Standard,23.10676462,10000,MAC_samples_1,,1,100,,,,,,,,,,,
F4,FALSE,tapres_tapres_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
F5,FALSE,tapres_tapres_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
F6,FALSE,tapres_tapres_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
F7,FALSE,bf_manifold_control_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
F8,FALSE,bf_manifold_control_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
F9,FALSE,bf_manifold_control_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
F10,FALSE,bf_slide_control_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
F11,FALSE,bf_slide_control_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
F12,FALSE,bf_slide_control_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
G1,FALSE,1.00E+05,MAC,SYBR,Standard,20.01640302,100000,MAC_samples_1,,1,100,,,,,,,,,,,
G2,FALSE,1.00E+05,MAC,SYBR,Standard,19.99898858,100000,MAC_samples_1,,1,100,,,,,,,,,,,
G3,FALSE,1.00E+05,MAC,SYBR,Standard,20.09444833,100000,MAC_samples_1,,1,100,,,,,,,,,,,
G4,FALSE,control_manifB_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
G5,FALSE,control_manifB_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
G6,FALSE,control_manifB_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
G10,FALSE,bf_manifold_control_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
G11,FALSE,bf_manifold_control_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
G12,FALSE,bf_manifold_control_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
